CODE;RAISON SOCIALE;ADRESSE;CP;VILLE;TEL.;FAX; EMAIL;ACTIF;REGLEMENT
ACT2; ACTION SAS;70 AV. DU GENERAL DE GAULLE B.P. 63201 ;35532;NOYAL SUR VILAINE CEDEX;02 99 25 02 70;02 99 00 60 43;C.Harper@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
ARB0; BLEU D'O;24 RUE DU BOURG PELE  ;72000;LE MANS;02 43 24 14 14;02 43 24 14 12;N.Yuli@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BOUL2; BOIROUX;280 AVENUE DES ALPES  ;38290;LA VERPILLIERE;04 74 95 53 43;04 74 95 63 10;C.Emerson@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BOU01; BOLLOUD;5 ROUTE DU PILAT  ;42420;LORETTE;06 26 96 89 57;09 59 18 11 83;G.Garrett@ent.org;Oui;CHEQUE A RECEPTION FACTURE
BOUZ1; BOUTAC; 16 CHEMIN DES MURIERS BP 40022;69741;GENAS CEDEX;04 72 78 02 84;04 78 00 72 06;CamilleD@media.org;Oui;CHEQUE A RECEPTION FACTURE
BRE02; BTP DU BRYSSEY;ZI ST THOMAS RUE MARCEL DASSAULT ;42370;LE CHAMBON FEUGEROLLES;04.77.89.43.24;04.77.56.68.35;HaleyA@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
ADG01; BTPS SUD;1777 ROUTE DE GENEVE  ;1700;BEYNOST;04 78 55 67 19;04 78 55 41 19;DeirdreC@services.fr;Oui;CHEQUE A RECEPTION FACTURE
LEC2; CALVEZ ; 211 AV ROGER SALENGRO ;69100;VILLEURBANNE;;;HillaryN@groupe.com;Oui;CHEQUE A L'ENLEVEMENT
GAEC1; DEMEYERE;PARC ODYSSE 1 10 RUE ROGER PLANCHON ;69200;VENISSIEUX;06.20.46.41.41;;Ramona.Isaiah@ent.org;Oui;CHEQUE A RECEPTION FACTURE
GAEC0; DESAMPUIS;4711 ROUTE DE STRASBOURG  ;69140;RILLEUX LA PAPE;;;;Oui;CHEQUE A RECEPTION FACTURE
GAE0; DESPILLES;5 A RUE CLAUDE BAUDRAND  ;69300;CALUIRE ET CUIRE;;;Heidi.Garrison@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
CHAR2; DIGITAL'MEDIA;ZI LES MINES  ;69210;SAINT PIERRE LAPALUD;04 74 70 30 75;04 74 70 34 25;Caryn.Solomon@trans.org;Oui;CHEQUE A RECEPTION FACTURE
COE0; FAVEST;336 RN 6 AEROPORT DE BRON ;61100;SAINT PRIEST;04 78 26 26 26;04 78 26 53 70;HyacinthR@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AXC1; GONYGE;;38540;VALENCIN;04.72.48.79.95;IDEM;06.37.04.82.96;Oui;CHEQUE A RECEPTION FACTURE
SET0; JUNGAS;  ;38460;SAINT ROMAIN DE JALIONAS;04.74.90.22.56;04.74.90.22.58;ArethaR@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AIN0; LOCATION SERVICE 01;ZI PORTUAIRE DE ST ROMAIN SUR GAL ;69560;ST ROMAIN EN GAL;04 74 31 62 75;;HermioneG@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
DDD; MEYNE DEPANNAGE;CHEMIN DU FOURNEA  ;69720;ST LAURENT DE MURE;04 26 25 90 08;04 72 48 9404;young_reeve@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
GAE01; PETIT; 1 RUE JEAN BOUIN ;69007;LYON;04 78 26 66 41;04 78 37 58 97;CarolD@ent.org;Oui;CHEQUE A RECEPTION FACTURE
BAI1; RHETY;28 RUE DENON  ;71100;CHALON SUR SAONE;06.03.34.47.11;03.85.48.75.64;DianaA@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BLAN1; ROGER S;17 CHEMIN DU LORTARET  ;61100;SAINT PRIEST;04 72 90 01 37;04 72 90 01 10;StacyY@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
OIL0; STEELO FRANCE;71 CHEMIN DU MOULIN CARRON BP 01 ;69571;DARDILLY  CEDEX;04 78 35 31 70;04 72 17 22 07;06 29 37 16 60;Oui;CHEQUE A RECEPTION FACTURE
2MB0;2MB;249 CHAUSSEE FERNAND FOREST  ;59200;TOURCOING;03.20.03.77.77;03.20.03.36.48;Tatyana.Oren@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
APLS0;3RAND SERVICES;72 AV DU GENERALE LECLERC  ;95310;ST OUEN L'AUMONE;01.30.26.22.11;01.30.37.10.01;Lisandra.Hector@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ADA3;A D A 38;2 BL DE RUSSIE  ;73100;AIX LES BAINS;04.79.34.04.70;04.79.34.35.26;S.Caleb@ets.com;Oui;CHEQUE A RECEPTION FACTURE
ACL0;A.C.L.;42, QUAI GAILLETON  ;69002;LYON;04 78 26 93 93;04 78 42 76 78;B.Len@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
